ID,Factors,IncMSE,Species,Fieldtype,Treatment,Class
1,TAP,8.42 ,Bacteria,Upland,B_upland,Climatic factor
2,MAT,9.11 ,Bacteria,Upland,B_upland,Climatic factor
3,ST,9.10 ,Bacteria,Upland,B_upland,Climatic factor
4,pH,11.40 ,Bacteria,Upland,B_upland,Edaphic factor
5,AP,4.85 ,Bacteria,Upland,B_upland,Edaphic factor
6,AK,2.63 ,Bacteria,Upland,B_upland,Edaphic factor
7,TP,2.86 ,Bacteria,Upland,B_upland,Edaphic factor
8,TK,4.34 ,Bacteria,Upland,B_upland,Edaphic factor
9,NH_N,5.68 ,Bacteria,Upland,B_upland,Edaphic factor
10,NO_N,0.36 ,Bacteria,Upland,B_upland,Edaphic factor
11,TN,5.46 ,Bacteria,Upland,B_upland,Edaphic factor
12,OM,5.56 ,Bacteria,Upland,B_upland,Edaphic factor
13,TAP,9.71 ,Bacteria,Paddy,B_paddy,Climatic factor
14,MAT,8.87 ,Bacteria,Paddy,B_paddy,Climatic factor
15,ST,8.75 ,Bacteria,Paddy,B_paddy,Climatic factor
16,pH,7.22 ,Bacteria,Paddy,B_paddy,Edaphic factor
17,AP,2.76 ,Bacteria,Paddy,B_paddy,Edaphic factor
18,AK,3.09 ,Bacteria,Paddy,B_paddy,Edaphic factor
19,TP,4.22 ,Bacteria,Paddy,B_paddy,Edaphic factor
20,TK,2.34 ,Bacteria,Paddy,B_paddy,Edaphic factor
21,NH_N,5.74 ,Bacteria,Paddy,B_paddy,Edaphic factor
22,NO_N,2.93 ,Bacteria,Paddy,B_paddy,Edaphic factor
23,TN,4.28 ,Bacteria,Paddy,B_paddy,Edaphic factor
24,OM,4.11 ,Bacteria,Paddy,B_paddy,Edaphic factor
25,TAP,7.36 ,Fungi,Upland,F_upland,Climatic factor
26,MAT,10.45 ,Fungi,Upland,F_upland,Climatic factor
27,ST,10.28 ,Fungi,Upland,F_upland,Climatic factor
28,pH,5.08 ,Fungi,Upland,F_upland,Edaphic factor
29,AP,3.32 ,Fungi,Upland,F_upland,Edaphic factor
30,AK,1.21 ,Fungi,Upland,F_upland,Edaphic factor
31,TP,2.40 ,Fungi,Upland,F_upland,Edaphic factor
32,TK,4.05 ,Fungi,Upland,F_upland,Edaphic factor
33,NH_N,2.60 ,Fungi,Upland,F_upland,Edaphic factor
34,NO_N,0.11 ,Fungi,Upland,F_upland,Edaphic factor
35,TN,4.19 ,Fungi,Upland,F_upland,Edaphic factor
36,OM,4.34 ,Fungi,Upland,F_upland,Edaphic factor
37,TAP,7.20 ,Fungi,Paddy,F_paddy,Climatic factor
38,MAT,8.71 ,Fungi,Paddy,F_paddy,Climatic factor
39,ST,8.29 ,Fungi,Paddy,F_paddy,Climatic factor
40,pH,5.42 ,Fungi,Paddy,F_paddy,Edaphic factor
41,AP,2.63 ,Fungi,Paddy,F_paddy,Edaphic factor
42,AK,2.63 ,Fungi,Paddy,F_paddy,Edaphic factor
43,TP,3.70 ,Fungi,Paddy,F_paddy,Edaphic factor
44,TK,1.97 ,Fungi,Paddy,F_paddy,Edaphic factor
45,NH_N,2.86 ,Fungi,Paddy,F_paddy,Edaphic factor
46,NO_N,1.60 ,Fungi,Paddy,F_paddy,Edaphic factor
47,TN,2.79 ,Fungi,Paddy,F_paddy,Edaphic factor
48,OM,3.24 ,Fungi,Paddy,F_paddy,Edaphic factor
