U_spearman,High_U,Low_U,High_P,Low_P
TAP,0.471062824,-0.286257581,0.347355253,-0.320633624
MAT,0.202413362,-0.220476185,0.115700713,-0.315017524
pH,-0.458817442,0.597069383,-0.5538134,0.497299652
AP,0.328163304,-0.245580421,0.084597623,-0.046881005
AK,-0.316322658,-0.02056088,-0.334881573,0.316130922
TP,0.129133068,0.295788153,0.499919267,0.063670134
TK,-0.235536205,0.279899728,-0.173466712,0.280205627
TN,-0.184689686,-0.043644366,-0.418834999,0.084850239
NH_N,0.122312603,0,0.369377159,0
NO_N,0.193105662,-0.094329195,-0.320944523,0.066987491
OM,-0.426939829,0.596687642,-0.377313194,0.215974782
