Paddy,IncMSE,factor,sig
High OM,18.80379104,High OM,***
High TN,13.6207485,High TN,**
High NH_N,11.73143337,High NH_N,**
High NO_N,8.291823162,High NO_N,*
Low OM,8.245004988,Low OM,*
Low pH,8.187910682,Low pH,*
Low TAP,7.718204528,Low TAP,*
Low MAT,7.545947132,Low MAT,*
Low AK,6.26931395,Low AK,*
High TK,5.335760955,High TK,
High MAT,4.950800846,High MAT,
High pH,4.74831257,High pH,
Low TN,4.635951573,Low TN,
High TAP,4.176817706,High TAP,
High AP,3.244064981,High AP,
Low NO_N,3.125846228,Low NO_N,
High AK,1.443146894,High AK,
Low AP,1.429845133,Low AP,
High TP,0.853120424,High TP,
Low TK,0.651653362,Low TK,
Low TP,0.231038755,Low TP,
